play_pattern,count,pct
Regular Play,380,41.58
From Throw In,194,21.23
From Free Kick,124,13.57
From Goal Kick,84,9.19
From Corner,55,6.02
From Keeper,29,3.17
From Kick Off,24,2.63
From Counter,17,1.86
Other,7,0.77
