play_pattern,count,pct
Regular Play,28550,39.72
From Throw In,17559,24.43
From Free Kick,9551,13.29
From Goal Kick,6341,8.82
From Corner,4108,5.71
From Keeper,2313,3.22
From Kick Off,1773,2.47
From Counter,1326,1.84
Other,363,0.5
